folder	board	branch	architecture	armbian_arch	family
bpi-m1	bananapi	current	arm32	armhf	sun7i
bpi-m1p	bananapim1plus	current	arm32	armhf	sun7i
bpi-pro	bananapipro	current	arm32	armhf	sun7i
bpi-p2z	bananapip2zero	current	arm32	armhf	sun8i
bpi-m2b	bananapim2berry	current	arm32	armhf	sun8i
bpi-m2m	bananapim2magic	current	arm32	armhf	sun8i
bpi-m2p	bananapim2plus	current	arm32	armhf	sun8i
bpi-m2u	bananapim2ultra	current	arm32	armhf	sun8i
bpi-m2z	bananapim2zero	current	arm32	armhf	sun8i
bpi-m3	bananapim3	current	arm32	armhf	sun8i
bpi-6204	bananapi6204	legacy	arm32	armhf	sun8i
bpi-f2p	bananapif2p	legacy	arm32	armhf	sunplus-sp7021-bpi
bpi-f2s	bananapif2s	legacy	arm32	armhf	sunplus-sp7021-bpi
bpi-m2	bananapim2	current	arm32	armhf	sun6i
bpi-r2	bananapir2	current	arm32	armhf	mt7623
bpi-forge1	bananapiforge1	vendor	arm32	armhf	rockchip
bpi-m2s	bananapim2s	current	arm64	arm64	meson-g12b
bpi-cm4io	bananapicm4io	current	arm64	arm64	meson-g12b
bpi-m2pro	bananapim2pro	current	arm64	arm64	meson-sm1
bpi-m5	bananapim5	current	arm64	arm64	meson-sm1
bpi-w2	bananapiw2	legacy	arm64	arm64	realtek-rtd129x-bpi
bpi-w3	bananapiw3	vendor	arm64	arm64	rockchip-rk3588
bpi-aim7	bananapiaim7	vendor	arm64	arm64	rockchip-rk3588
bpi-m7	bananapim7	current	arm64	arm64	rockchip-rk3588
bpi-m64	bananapim64	current	arm64	arm64	sun50iw1
bpi-m1super	bananapim1super	vendor	arm64	arm64	rk35xx
bpi-cm5pro	bananapicm5pro	vendor	arm64	arm64	rk35xx
bpi-m5pro	bananapim5pro	edge	arm64	arm64	rk35xx
bpi-m4b	bananapim4berry	current	arm64	arm64	sun50iw9-bpi
bpi-m4z	bananapim4zero	current	arm64	arm64	sun50iw9-bpi
bpi-m4z-emac	bananapim4zeroemac	current	arm64	arm64	sun50iw9-bpi
bpi-r3	bananapir3	current	arm64	arm64	filogic
bpi-r3mini	bananapir3mini	current	arm64	arm64	filogic
bpi-r4	bananapir4	current	arm64	arm64	filogic
bpi-r4lite	bananapir4lite	current	arm64	arm64	filogic
bpi-r4pro	bananapir4pro	current	arm64	arm64	filogic
bpi-r64	bananapir64	current	arm64	arm64	filogic
bpi-p2pro	bananapip2pro	current	arm64	arm64	rockchip64
bpi-r2pro	bananapir2pro	current	arm64	arm64	rockchip64
bpi-m4	bananapim4	legacy	arm64	arm64	realtek-rtd139x-bpi
bpi-ai2n	bpi-ai2n	legacy	arm64	arm64	renesas-rzv2n-bpi
bpi-m6	bananapim6	legacy	arm64	arm64	vs680
bpi-sm10	bananapism10	current	riscv64	riscv64	spacemit-k3-bpi
bpi-f3	bananapif3	current	riscv64	riscv64	spacemit
bpi-cm6	bananapicm6	legacy	riscv64	riscv64	spacemit
