folder	board	branch	releases
bpi-6204	bananapi6204	legacy	trixie,bookworm,jammy,noble,resolute
bpi-ai2n	bpi-ai2n	legacy	trixie,bookworm,jammy,noble,resolute
bpi-aim7	bananapiaim7	vendor	trixie,bookworm,jammy,noble,resolute
bpi-cm4io	bananapicm4io	current	trixie,bookworm,jammy,noble,resolute
bpi-cm5pro	bananapicm5pro	vendor	trixie,bookworm,jammy,noble,resolute
bpi-cm6	bananapicm6	legacy	trixie,jammy,noble,resolute
bpi-f2p	bananapif2p	legacy	trixie,bookworm,jammy,noble,resolute
bpi-f2s	bananapif2s	legacy	trixie,bookworm,jammy,noble,resolute
bpi-f3	bananapif3	current	trixie,jammy,noble,resolute
bpi-forge1	bananapiforge1	vendor	trixie,bookworm,jammy,noble,resolute
bpi-m1	bananapi	current	trixie,bookworm,jammy,noble,resolute
bpi-m1p	bananapim1plus	current	trixie,bookworm,jammy,noble,resolute
bpi-m1super	bananapim1super	vendor	trixie,bookworm,jammy,noble,resolute
bpi-m2	bananapim2	current	trixie,bookworm,jammy,noble,resolute
bpi-m2b	bananapim2berry	current	trixie,bookworm,jammy,noble,resolute
bpi-m2m	bananapim2magic	current	trixie,bookworm,jammy,noble,resolute
bpi-m2p	bananapim2plus	current	trixie,bookworm,jammy,noble,resolute
bpi-m2pro	bananapim2pro	current	trixie,bookworm,jammy,noble,resolute
bpi-m2s	bananapim2s	current	trixie,bookworm,jammy,noble,resolute
bpi-m2u	bananapim2ultra	current	trixie,bookworm,jammy,noble,resolute
bpi-m2z	bananapim2zero	current	trixie,bookworm,jammy,noble,resolute
bpi-m3	bananapim3	current	trixie,bookworm,jammy,noble,resolute
bpi-m4	bananapim4	legacy	trixie,bookworm,jammy,noble,resolute
bpi-m4b	bananapim4berry	current	trixie,bookworm,jammy,noble,resolute
bpi-m4z	bananapim4zero	current	trixie,bookworm,jammy,noble,resolute
bpi-m4z-emac	bananapim4zeroemac	current	trixie,bookworm,jammy,noble,resolute
bpi-m5	bananapim5	current	trixie,bookworm,jammy,noble,resolute
bpi-m5pro	bananapim5pro	edge	trixie,bookworm,jammy,noble,resolute
bpi-m6	bananapim6	legacy	trixie,bookworm,jammy,noble,resolute
bpi-m64	bananapim64	current	trixie,bookworm,jammy,noble,resolute
bpi-m7	bananapim7	current	trixie,bookworm,jammy,noble,resolute
bpi-p2pro	bananapip2pro	current	trixie,bookworm,jammy,noble,resolute
bpi-p2z	bananapip2zero	current	trixie,bookworm,jammy,noble,resolute
bpi-pro	bananapipro	current	trixie,bookworm,jammy,noble,resolute
bpi-r2	bananapir2	current	trixie,bookworm,jammy,noble,resolute
bpi-r2pro	bananapir2pro	current	trixie,bookworm,jammy,noble,resolute
bpi-r3	bananapir3	current	trixie,bookworm,jammy,noble,resolute
bpi-r3mini	bananapir3mini	current	trixie,bookworm,jammy,noble,resolute
bpi-r4	bananapir4	current	trixie,bookworm,jammy,noble,resolute
bpi-r4lite	bananapir4lite	current	trixie,bookworm,jammy,noble,resolute
bpi-r4pro	bananapir4pro	current	trixie,bookworm,jammy,noble,resolute
bpi-r64	bananapir64	current	trixie,bookworm,jammy,noble,resolute
bpi-sm10	bananapism10	current	trixie,jammy,noble,resolute
bpi-w2	bananapiw2	legacy	trixie,bookworm,jammy,noble,resolute
bpi-w3	bananapiw3	vendor	trixie,bookworm,jammy,noble,resolute
