順序,測試ID,項目,證據檔名,結果（PASS/FAIL/BLOCKED/NA）,備註,測試者,日期（含時區）
1,CM6-001,硬體、載板與接線,host/CM6-001-hardware.md;photos/CM6-001-carrier.jpg;photos/CM6-001-wiring.jpg,BLOCKED,尚未依本手冊執行；依原始證據填寫，不可沿用歷史 PASS。,,
2,CM6-002,ZIP、原始映像大小及 SHA,host/CM6-002-archives.txt;host/CM6-002-image.sha256,BLOCKED,尚未依本手冊執行；依原始證據填寫，不可沿用歷史 PASS。,,
3,CM6-003,SD 燒錄與開機前回讀,host/CM6-003-before.txt;host/CM6-003-after.txt;host/CM6-003-readback.sha256;photos/CM6-003-flash.png,BLOCKED,尚未依本手冊執行；依原始證據填寫，不可沿用歷史 PASS。 另一媒體可填 NA。,,
4,CM6-004,Titan eMMC 燒錄及獨立啟動,host/CM6-004-titan-version.txt;host/CM6-004-titan.log;photos/CM6-004-result.png,BLOCKED,尚未依本手冊執行；依原始證據填寫，不可沿用歷史 PASS。 另一媒體可填 NA。,,
5,CM6-005,上電 UART 與首次設定,host/CM6-005-first-power.uart.bin;host/CM6-005-after-setup.uart.bin;host/CM6-005-timeline.txt,BLOCKED,尚未依本手冊執行；依原始證據填寫，不可沿用歷史 PASS。,,
6,CM6-006,系統版本與媒體身分,board/CM6-006-identity.txt,BLOCKED,尚未依本手冊執行；依原始證據填寫，不可沿用歷史 PASS。,,
7,CM6-007,分區、UUID、檔案系統及擴容,board/CM6-007-storage.txt,BLOCKED,尚未依本手冊執行；依原始證據填寫，不可沿用歷史 PASS。,,
8,CM6-008,HDMI、GNOME 與桌面操作,board/CM6-008-desktop.txt;photos/CM6-008-desktop.jpg,BLOCKED,尚未依本手冊執行；依原始證據填寫，不可沿用歷史 PASS。,,
9,CM6-009,各 USB 埠、鍵鼠與資料,board/CM6-009-usb.txt;board/CM6-009-write.sha256;board/CM6-009-read.sha256;photos/CM6-009-input.jpg,BLOCKED,尚未依本手冊執行；依原始證據填寫，不可沿用歷史 PASS。,,
10,CM6-010,eth0 獨立連線與雙向資料,board/CM6-010-eth0/before.json;board/CM6-010-eth0/after.json;board/CM6-010-eth0/ping.txt;board/CM6-010-eth0/compare.txt,BLOCKED,尚未依本手冊執行；依原始證據填寫，不可沿用歷史 PASS。,,
11,CM6-011,eth1 獨立連線與雙向資料,board/CM6-011-eth1/before.json;board/CM6-011-eth1/after.json;board/CM6-011-eth1/ping.txt;board/CM6-011-eth1/compare.txt,BLOCKED,尚未依本手冊執行；依原始證據填寫，不可沿用歷史 PASS。,,
12,CM6-012,Wi-Fi 各要求頻段與丟棄計數,board/CM6-012-wlan0-5G-R01/before.json;board/CM6-012-wlan0-5G-R01/after.json;board/CM6-012-wlan0-5G-R01/compare.txt;board/CM6-012-wlan0-5G-R01/idle-before.json;board/CM6-012-wlan0-5G-R01/idle-after.json,BLOCKED,尚未依本手冊執行；依原始證據填寫，不可沿用歷史 PASS。 2.4 GHz 另增 CM6-012-wlan0-2G-R01 證據。,,
