項目	O1_靜態值	原廠_1116_動態值	判讀
DDR_時脈_MHz	792	792	相同
容量_MiB	4096	4096	相同
Rank	2	2	相同
匯流排寬度_bit	32	32	相同
Row	16	未由原廠_UART_直接輸出	不可比較
Column	10	未由原廠_UART_直接輸出	不可比較
write_leveling	停用	未見同名獨立階段	不可直接等同
read_calibration	啟用_首次通過	R_2d_前出現10次錯誤及retraining_final_error	流程與判定不同
read_training	停用	R_1st_及_R_2st	原廠存在動態讀取眼圖
write_training	停用	W_2st	原廠存在動態寫入眼圖
TPR6	0x44000000	0x3a808080	不同_原廠由R_2d選點
TPR11	0x24242624	0x25252523	不同_原廠由W_2st逐lane選點
TPR12	0x0f0f100f	0x110f0f10	不同_原廠由R_2st逐lane選點
Vref_窗口	未量測	0x34-0x40	O1缺少RV_C證據
資料窗口_ps	未量測	120	O1缺少RV_C證據
快速記憶體測試	未輸出	通過	O1缺少原廠同等DST證據
RTC_調校保存	未讀寫	已保存	O1刻意未移植
Linux_結果	進入核心後initramfs解包錯誤	同份原廠日誌可進入Linux	O1不算完整開機通過
