板號或標籤	UART檔案	SHA-256	SPL次數	DRAM容量MiB	U-Boot	核心交接	使用者空間	判定	關鍵證據
450300156	450300156 SD启动.log	757cf7208556c2b61a42434c29c06f8dd11269e23aaf7672acc951da2653f68e	1	4096	是	是	是	通過	登入並進入root shell
450600027	450600027 SD启动.log	f1945cd6c19e56b3c1c78943ef5ec18116907a4ca1efc40a57d48ab1db7adfc5	0		否	否	否	排除	UART只有3 bytes BOM；使用者於2026-08-17確認缺件、硬體不良
450600146	450600146 SD启动.log	d4b4af76e51fa0544fecfe8f1b465515fc27f4198259fb2501af59140fe31437	1	4096	是	是	是	通過	完成首次設定並進入root shell
450600285	450600285 SD启动.log	b6c3df957f8c611ad06625f8d916dfaec7dafe21be171b5aa63686bf31dccc51	1	4096	是	是	是	通過	登入並進入root shell
450600327	450600327 SD启动.log	e3228909d6500703860abb0671e3aa84a7dbd6cb8498de671ff98962166aea92	1	4096	是	是	是	通過	登入並進入root shell
450600444	450600444 SD启动.log	f85fa1446c7b8a3c165977f3694c6f2d56cd5c09e75e7a87b5a69f711cd6ef1f	1	4096	是	是	是	通過	登入並進入root shell
450600667	450600667 SD启动.log	36ef84b98e46338aa9cb32f933e85c3e426d05a6a27773b61a87004ddcc247b4	74		否	否	否	失敗	296次rc階段失敗，未進U-Boot
450600760	450600760 SD启动.log	89bca2f7929780247115385b27f392f4dcdfc5d88c4832085f9f8537d9e63a20	1	4096	是	是	是	通過	登入並進入root shell
450600826	450600826 SD启动.log	c690a8db7d0d5d620161c15aa6abf67c283361e340afe9a8dd6d62f247fca877	1	4096	是	是	是	通過	initrd checksum通過並進入root shell
450600827	450600827 SD启动.log	7fdcd93c5509c2104a34995afdd5382bd724ac1c3b8b9172be29a056ad9e405c	1	4096	是	是	是	通過	登入並進入root shell
450600845	450600845 SD启动.log	a9baa556b8763fdf97e2d1137255cd6100a917a1a844355511a737e6284ea690	1	4096	是	是	否	失敗	PID 1結束並發生kernel panic
450601023	450601023 SD启动.log	47e8a0f6c50c99f8ba2485fc0f24a766c8dc5b211ea33837584c0322e24320fd	1	4096	是	是	是	通過	登入並進入root shell
450601075	450601075 SD启动.log	31a5d3b9da7c62110b938723db4e0279e6db5ee046d155557625c7a9e0d2f72c	1	4096	是	是	是	通過	initrd checksum通過並進入root shell
450601162	450601162 SD启动.log	f1945cd6c19e56b3c1c78943ef5ec18116907a4ca1efc40a57d48ab1db7adfc5	0		否	否	否	無法判定	只有3 bytes UTF-8 BOM
test1	test1 SD启动.log	e08d5456d8cee1bae3fbf2c795bb087a3ebe109fde9a5ba223af9f7631391ab1	1	4096	是	是	是	通過	登入並進入root shell
test2	test2 SD启动.log	81757ca34045907d266f64da96aaa7d84b3c73c64713992d75ecffcfb0eabc64	1	4096	是	是	是	通過	登入並進入root shell
測試板1	测试板1 SD启动.log	f763b0c83d606190fbf84f34fb7f22121f8b742b1f1724ed13f66fbb4c64551f	1	2048	是	是	是	通過	雙Rank失敗後單Rank fallback成功並進入root shell
