唯一鍵	候選來源	處置	映像	SHA256	來源提交	建置內容雜湊
bpi-6204/bananapi6204/legacy/bookworm/minimal	整併候選	採用	/media/pi/SMCI/bpi/bananapi-release-c8673931c96c/bpi-6204/Armbian-unofficial_26.11.0-trunk_Bananapi6204_bookworm_legacy_6.12.90_minimal.img.xz	f4cb0250e1860f8a93b34f8d57b1220e5fd3dc47d031ecde8d79685b409ad4f1	c8673931c96c23c510dd29a28440e77f0b03286f	6a9a29372b9ef64baaf790b24ccad2f3b4ba6940a6ddfa932ddd8bb08171a633
bpi-6204/bananapi6204/legacy/bookworm/xfce	整併候選	採用	/media/pi/SMCI/bpi/bananapi-release-c8673931c96c/bpi-6204/Armbian-unofficial_26.11.0-trunk_Bananapi6204_bookworm_legacy_6.12.90_xfce_desktop.img.xz	2eab1ad8ecc9b9409454a4a6e624752f132f4020250b0577a52a85f5da795789	c8673931c96c23c510dd29a28440e77f0b03286f	6a9a29372b9ef64baaf790b24ccad2f3b4ba6940a6ddfa932ddd8bb08171a633
bpi-6204/bananapi6204/legacy/jammy/minimal	整併候選	採用	/media/pi/SMCI/bpi/bananapi-release-c8673931c96c/bpi-6204/Armbian-unofficial_26.11.0-trunk_Bananapi6204_jammy_legacy_6.12.90_minimal.img.xz	5ec7330049868465c3c011532e512cd5ec61fce03788e39337f076b2d8f4479d	c8673931c96c23c510dd29a28440e77f0b03286f	6a9a29372b9ef64baaf790b24ccad2f3b4ba6940a6ddfa932ddd8bb08171a633
bpi-6204/bananapi6204/legacy/jammy/xfce	整併候選	採用	/media/pi/SMCI/bpi/bananapi-release-c8673931c96c/bpi-6204/Armbian-unofficial_26.11.0-trunk_Bananapi6204_jammy_legacy_6.12.90_xfce_desktop.img.xz	f272c9e277ddc7b683186da29913f28d0dece5db009ec8f407a993043d4ae957	c8673931c96c23c510dd29a28440e77f0b03286f	6a9a29372b9ef64baaf790b24ccad2f3b4ba6940a6ddfa932ddd8bb08171a633
bpi-6204/bananapi6204/legacy/noble/minimal	整併候選	採用	/media/pi/SMCI/bpi/bananapi-release-c8673931c96c/bpi-6204/Armbian-unofficial_26.11.0-trunk_Bananapi6204_noble_legacy_6.12.90_minimal.img.xz	15eeb90defb35ef5e708c327a1b4953f543c1ede30973fffa0c82c0b9e27bdee	c8673931c96c23c510dd29a28440e77f0b03286f	6a9a29372b9ef64baaf790b24ccad2f3b4ba6940a6ddfa932ddd8bb08171a633
bpi-6204/bananapi6204/legacy/noble/xfce	整併候選	採用	/media/pi/SMCI/bpi/bananapi-release-c8673931c96c/bpi-6204/Armbian-unofficial_26.11.0-trunk_Bananapi6204_noble_legacy_6.12.90_xfce_desktop.img.xz	f25b1f1eef06a4de26ea483d93903033c9cf4826154c5d1c5a9b51626d9f40c6	c8673931c96c23c510dd29a28440e77f0b03286f	6a9a29372b9ef64baaf790b24ccad2f3b4ba6940a6ddfa932ddd8bb08171a633
bpi-6204/bananapi6204/legacy/resolute/minimal	整併候選	採用	/media/pi/SMCI/bpi/bananapi-release-c8673931c96c/bpi-6204/Armbian-unofficial_26.11.0-trunk_Bananapi6204_resolute_legacy_6.12.90_minimal.img.xz	dc7cb01165671233f2cb653200cc61928f7ebca91fa1563b7a550274b9f1bc2d	c8673931c96c23c510dd29a28440e77f0b03286f	6a9a29372b9ef64baaf790b24ccad2f3b4ba6940a6ddfa932ddd8bb08171a633
bpi-6204/bananapi6204/legacy/resolute/xfce	整併候選	採用	/media/pi/SMCI/bpi/bananapi-release-c8673931c96c/bpi-6204/Armbian-unofficial_26.11.0-trunk_Bananapi6204_resolute_legacy_6.12.90_xfce_desktop.img.xz	45f22270956f0a73a031f2a2aa8ca9f21f837bcb24c2d382e5312af295313382	c8673931c96c23c510dd29a28440e77f0b03286f	6a9a29372b9ef64baaf790b24ccad2f3b4ba6940a6ddfa932ddd8bb08171a633
bpi-6204/bananapi6204/legacy/trixie/minimal	整併候選	採用	/media/pi/SMCI/bpi/bananapi-release-c8673931c96c/bpi-6204/Armbian-unofficial_26.11.0-trunk_Bananapi6204_trixie_legacy_6.12.90_minimal.img.xz	5c61da34508cc666b8475d92288565920487ba107b964d8530965b6d6a8c1725	c8673931c96c23c510dd29a28440e77f0b03286f	6a9a29372b9ef64baaf790b24ccad2f3b4ba6940a6ddfa932ddd8bb08171a633
bpi-6204/bananapi6204/legacy/trixie/xfce	整併候選	採用	/media/pi/SMCI/bpi/bananapi-release-c8673931c96c/bpi-6204/Armbian-unofficial_26.11.0-trunk_Bananapi6204_trixie_legacy_6.12.90_xfce_desktop.img.xz	b2ffb5f8be8a57c7757212095c1a2888b00549dd33dfee19299c670984f41cbb	c8673931c96c23c510dd29a28440e77f0b03286f	6a9a29372b9ef64baaf790b24ccad2f3b4ba6940a6ddfa932ddd8bb08171a633
