folder	source_commit	build_context_sha256
bpi-6204	c8673931c96c23c510dd29a28440e77f0b03286f	6a9a29372b9ef64baaf790b24ccad2f3b4ba6940a6ddfa932ddd8bb08171a633
bpi-ai2n	c8673931c96c23c510dd29a28440e77f0b03286f	6a9a29372b9ef64baaf790b24ccad2f3b4ba6940a6ddfa932ddd8bb08171a633
bpi-aim7	c8673931c96c23c510dd29a28440e77f0b03286f	6a9a29372b9ef64baaf790b24ccad2f3b4ba6940a6ddfa932ddd8bb08171a633
bpi-cm4io	c8673931c96c23c510dd29a28440e77f0b03286f	6a9a29372b9ef64baaf790b24ccad2f3b4ba6940a6ddfa932ddd8bb08171a633
bpi-cm5pro	c8673931c96c23c510dd29a28440e77f0b03286f	6a9a29372b9ef64baaf790b24ccad2f3b4ba6940a6ddfa932ddd8bb08171a633
bpi-cm6	c8673931c96c23c510dd29a28440e77f0b03286f	6a9a29372b9ef64baaf790b24ccad2f3b4ba6940a6ddfa932ddd8bb08171a633
bpi-f2p	c8673931c96c23c510dd29a28440e77f0b03286f	6a9a29372b9ef64baaf790b24ccad2f3b4ba6940a6ddfa932ddd8bb08171a633
bpi-f2s	c8673931c96c23c510dd29a28440e77f0b03286f	6a9a29372b9ef64baaf790b24ccad2f3b4ba6940a6ddfa932ddd8bb08171a633
bpi-f3	c8673931c96c23c510dd29a28440e77f0b03286f	6a9a29372b9ef64baaf790b24ccad2f3b4ba6940a6ddfa932ddd8bb08171a633
bpi-forge1	c8673931c96c23c510dd29a28440e77f0b03286f	6a9a29372b9ef64baaf790b24ccad2f3b4ba6940a6ddfa932ddd8bb08171a633
bpi-m1	c8673931c96c23c510dd29a28440e77f0b03286f	6a9a29372b9ef64baaf790b24ccad2f3b4ba6940a6ddfa932ddd8bb08171a633
bpi-m1p	c8673931c96c23c510dd29a28440e77f0b03286f	6a9a29372b9ef64baaf790b24ccad2f3b4ba6940a6ddfa932ddd8bb08171a633
bpi-m1super	c8673931c96c23c510dd29a28440e77f0b03286f	6a9a29372b9ef64baaf790b24ccad2f3b4ba6940a6ddfa932ddd8bb08171a633
bpi-m2	c8673931c96c23c510dd29a28440e77f0b03286f	6a9a29372b9ef64baaf790b24ccad2f3b4ba6940a6ddfa932ddd8bb08171a633
bpi-m2b	c8673931c96c23c510dd29a28440e77f0b03286f	6a9a29372b9ef64baaf790b24ccad2f3b4ba6940a6ddfa932ddd8bb08171a633
bpi-m2m	c8673931c96c23c510dd29a28440e77f0b03286f	6a9a29372b9ef64baaf790b24ccad2f3b4ba6940a6ddfa932ddd8bb08171a633
