唯一鍵	候選來源	處置	映像	SHA256	來源提交	建置內容雜湊
bpi-m1/bananapi/current/bookworm/minimal	main-c867	採用	/media/pi/SMCI/bpi/main-release-c8673931c96c/bpi-m1/Armbian-unofficial_26.11.0-trunk_Bananapi_bookworm_current_6.18.49_minimal.img.xz	8500126b4055d95e1c14083cbe7ff451bfed8e508491d3f21d93ddbe99f213c9	c8673931c96c23c510dd29a28440e77f0b03286f	6a9a29372b9ef64baaf790b24ccad2f3b4ba6940a6ddfa932ddd8bb08171a633
bpi-m1/bananapi/current/bookworm/xfce	main-c867	採用	/media/pi/SMCI/bpi/main-release-c8673931c96c/bpi-m1/Armbian-unofficial_26.11.0-trunk_Bananapi_bookworm_current_6.18.49_xfce_desktop.img.xz	ec61676fd2aee5b93a3ed7fbc48d75bf77ca50b1b86abc064f2ca4d0bc154a35	c8673931c96c23c510dd29a28440e77f0b03286f	6a9a29372b9ef64baaf790b24ccad2f3b4ba6940a6ddfa932ddd8bb08171a633
bpi-m1/bananapi/current/jammy/minimal	main-c867	採用	/media/pi/SMCI/bpi/main-release-c8673931c96c/bpi-m1/Armbian-unofficial_26.11.0-trunk_Bananapi_jammy_current_6.18.49_minimal.img.xz	0c6f5f6dc01a7aaf7bdcd8fe37c0af2cdeb91d685d0528c7142cd32ec70e9fb5	c8673931c96c23c510dd29a28440e77f0b03286f	6a9a29372b9ef64baaf790b24ccad2f3b4ba6940a6ddfa932ddd8bb08171a633
bpi-m1/bananapi/current/jammy/xfce	main-c867	採用	/media/pi/SMCI/bpi/main-release-c8673931c96c/bpi-m1/Armbian-unofficial_26.11.0-trunk_Bananapi_jammy_current_6.18.49_xfce_desktop.img.xz	5058cd96f3c68cd2fcb0c24bdd8619f108595c2aa0091c901977b5e638193f52	c8673931c96c23c510dd29a28440e77f0b03286f	6a9a29372b9ef64baaf790b24ccad2f3b4ba6940a6ddfa932ddd8bb08171a633
bpi-m1/bananapi/current/noble/minimal	main-c867	採用	/media/pi/SMCI/bpi/main-release-c8673931c96c/bpi-m1/Armbian-unofficial_26.11.0-trunk_Bananapi_noble_current_6.18.49_minimal.img.xz	4dc6e37a941ff333a54b1fd8e5e11c18b137d77d79625c4b7ef2c832b386e36d	c8673931c96c23c510dd29a28440e77f0b03286f	6a9a29372b9ef64baaf790b24ccad2f3b4ba6940a6ddfa932ddd8bb08171a633
bpi-m1/bananapi/current/noble/xfce	main-c867	採用	/media/pi/SMCI/bpi/main-release-c8673931c96c/bpi-m1/Armbian-unofficial_26.11.0-trunk_Bananapi_noble_current_6.18.49_xfce_desktop.img.xz	d54176621d8a067bc13b330a07767a9aac770945abce3232e112e72d2af19303	c8673931c96c23c510dd29a28440e77f0b03286f	6a9a29372b9ef64baaf790b24ccad2f3b4ba6940a6ddfa932ddd8bb08171a633
bpi-m1/bananapi/current/resolute/minimal	main-c867	採用	/media/pi/SMCI/bpi/main-release-c8673931c96c/bpi-m1/Armbian-unofficial_26.11.0-trunk_Bananapi_resolute_current_6.18.49_minimal.img.xz	ed4a19f7fda5106f63dc2af60f7c15db32539868fa2c1e86b34a3b500250827a	c8673931c96c23c510dd29a28440e77f0b03286f	6a9a29372b9ef64baaf790b24ccad2f3b4ba6940a6ddfa932ddd8bb08171a633
bpi-m1/bananapi/current/resolute/xfce	main-c867	採用	/media/pi/SMCI/bpi/main-release-c8673931c96c/bpi-m1/Armbian-unofficial_26.11.0-trunk_Bananapi_resolute_current_6.18.49_xfce_desktop.img.xz	96475accefc48ce3adb5beeff467f9b80cd07819f28982ba6567d937a23cbc2b	c8673931c96c23c510dd29a28440e77f0b03286f	6a9a29372b9ef64baaf790b24ccad2f3b4ba6940a6ddfa932ddd8bb08171a633
bpi-m1/bananapi/current/trixie/minimal	main-c867	採用	/media/pi/SMCI/bpi/main-release-c8673931c96c/bpi-m1/Armbian-unofficial_26.11.0-trunk_Bananapi_trixie_current_6.18.49_minimal.img.xz	932748c905163d13955c66cd508994dc7088a67bbdb924f001ac595d00aaa746	c8673931c96c23c510dd29a28440e77f0b03286f	6a9a29372b9ef64baaf790b24ccad2f3b4ba6940a6ddfa932ddd8bb08171a633
bpi-m1/bananapi/current/trixie/xfce	main-c867	採用	/media/pi/SMCI/bpi/main-release-c8673931c96c/bpi-m1/Armbian-unofficial_26.11.0-trunk_Bananapi_trixie_current_6.18.49_xfce_desktop.img.xz	c00ed4098184134eb67709ec12641f048484b5f6b39518f10441d11756c17ebe	c8673931c96c23c510dd29a28440e77f0b03286f	6a9a29372b9ef64baaf790b24ccad2f3b4ba6940a6ddfa932ddd8bb08171a633
bpi-m1p/bananapim1plus/current/bookworm/minimal	main-c867	採用	/media/pi/SMCI/bpi/main-release-c8673931c96c/bpi-m1p/Armbian-unofficial_26.11.0-trunk_Bananapim1plus_bookworm_current_6.18.46_minimal.img.xz	759d00fc465ee576a75b5c30db06012e899c18f6737d3d676f4f8fda6e3fda0e	c8673931c96c23c510dd29a28440e77f0b03286f	6a9a29372b9ef64baaf790b24ccad2f3b4ba6940a6ddfa932ddd8bb08171a633
bpi-m1p/bananapim1plus/current/bookworm/xfce	main-c867	採用	/media/pi/SMCI/bpi/main-release-c8673931c96c/bpi-m1p/Armbian-unofficial_26.11.0-trunk_Bananapim1plus_bookworm_current_6.18.46_xfce_desktop.img.xz	5e5937b41d1ecbef26b5b7287accbdaa05a66d44cf1963a7ff7876d9b75c1986	c8673931c96c23c510dd29a28440e77f0b03286f	6a9a29372b9ef64baaf790b24ccad2f3b4ba6940a6ddfa932ddd8bb08171a633
bpi-m1p/bananapim1plus/current/jammy/minimal	main-c867	採用	/media/pi/SMCI/bpi/main-release-c8673931c96c/bpi-m1p/Armbian-unofficial_26.11.0-trunk_Bananapim1plus_jammy_current_6.18.46_minimal.img.xz	ba951eaac472b22bb58dd308e74622d66dde1ab96716eb464dc514ead60855b2	c8673931c96c23c510dd29a28440e77f0b03286f	6a9a29372b9ef64baaf790b24ccad2f3b4ba6940a6ddfa932ddd8bb08171a633
bpi-m1p/bananapim1plus/current/jammy/xfce	main-c867	採用	/media/pi/SMCI/bpi/main-release-c8673931c96c/bpi-m1p/Armbian-unofficial_26.11.0-trunk_Bananapim1plus_jammy_current_6.18.46_xfce_desktop.img.xz	b1c3e46a05576711532b74af1a19e7cc67b6c8526ed2b43c3b91cf9250b653ae	c8673931c96c23c510dd29a28440e77f0b03286f	6a9a29372b9ef64baaf790b24ccad2f3b4ba6940a6ddfa932ddd8bb08171a633
