板目錄	板卡	分支	發行版	類型	動作	原因
bpi-6204	bananapi6204	legacy	trixie	minimal	建置缺少項目	bpi-6204/bananapi6204/legacy/trixie/minimal
bpi-6204	bananapi6204	legacy	trixie	xfce	建置缺少項目	bpi-6204/bananapi6204/legacy/trixie/xfce
bpi-6204	bananapi6204	legacy	bookworm	minimal	建置缺少項目	bpi-6204/bananapi6204/legacy/bookworm/minimal
bpi-6204	bananapi6204	legacy	bookworm	xfce	建置缺少項目	bpi-6204/bananapi6204/legacy/bookworm/xfce
bpi-6204	bananapi6204	legacy	jammy	minimal	建置缺少項目	bpi-6204/bananapi6204/legacy/jammy/minimal
bpi-6204	bananapi6204	legacy	jammy	xfce	建置缺少項目	bpi-6204/bananapi6204/legacy/jammy/xfce
bpi-6204	bananapi6204	legacy	noble	minimal	建置缺少項目	bpi-6204/bananapi6204/legacy/noble/minimal
bpi-6204	bananapi6204	legacy	noble	xfce	建置缺少項目	bpi-6204/bananapi6204/legacy/noble/xfce
bpi-6204	bananapi6204	legacy	resolute	minimal	建置缺少項目	bpi-6204/bananapi6204/legacy/resolute/minimal
bpi-6204	bananapi6204	legacy	resolute	xfce	建置缺少項目	bpi-6204/bananapi6204/legacy/resolute/xfce
bpi-ai2n	bpi-ai2n	legacy	trixie	minimal	建置缺少項目	bpi-ai2n/bpi-ai2n/legacy/trixie/minimal
bpi-ai2n	bpi-ai2n	legacy	trixie	xfce	建置缺少項目	bpi-ai2n/bpi-ai2n/legacy/trixie/xfce
bpi-ai2n	bpi-ai2n	legacy	bookworm	minimal	建置缺少項目	bpi-ai2n/bpi-ai2n/legacy/bookworm/minimal
bpi-ai2n	bpi-ai2n	legacy	bookworm	xfce	建置缺少項目	bpi-ai2n/bpi-ai2n/legacy/bookworm/xfce
bpi-ai2n	bpi-ai2n	legacy	jammy	minimal	建置缺少項目	bpi-ai2n/bpi-ai2n/legacy/jammy/minimal
bpi-ai2n	bpi-ai2n	legacy	jammy	xfce	建置缺少項目	bpi-ai2n/bpi-ai2n/legacy/jammy/xfce
bpi-ai2n	bpi-ai2n	legacy	noble	minimal	建置缺少項目	bpi-ai2n/bpi-ai2n/legacy/noble/minimal
bpi-ai2n	bpi-ai2n	legacy	noble	xfce	建置缺少項目	bpi-ai2n/bpi-ai2n/legacy/noble/xfce
bpi-ai2n	bpi-ai2n	legacy	resolute	minimal	建置缺少項目	bpi-ai2n/bpi-ai2n/legacy/resolute/minimal
bpi-ai2n	bpi-ai2n	legacy	resolute	xfce	建置缺少項目	bpi-ai2n/bpi-ai2n/legacy/resolute/xfce
bpi-aim7	bananapiaim7	vendor	trixie	minimal	建置缺少項目	bpi-aim7/bananapiaim7/vendor/trixie/minimal
bpi-aim7	bananapiaim7	vendor	trixie	xfce	建置缺少項目	bpi-aim7/bananapiaim7/vendor/trixie/xfce
bpi-aim7	bananapiaim7	vendor	bookworm	minimal	建置缺少項目	bpi-aim7/bananapiaim7/vendor/bookworm/minimal
bpi-aim7	bananapiaim7	vendor	bookworm	xfce	建置缺少項目	bpi-aim7/bananapiaim7/vendor/bookworm/xfce
bpi-aim7	bananapiaim7	vendor	jammy	minimal	建置缺少項目	bpi-aim7/bananapiaim7/vendor/jammy/minimal
bpi-aim7	bananapiaim7	vendor	jammy	xfce	建置缺少項目	bpi-aim7/bananapiaim7/vendor/jammy/xfce
bpi-aim7	bananapiaim7	vendor	noble	minimal	建置缺少項目	bpi-aim7/bananapiaim7/vendor/noble/minimal
bpi-aim7	bananapiaim7	vendor	noble	xfce	建置缺少項目	bpi-aim7/bananapiaim7/vendor/noble/xfce
bpi-aim7	bananapiaim7	vendor	resolute	minimal	建置缺少項目	bpi-aim7/bananapiaim7/vendor/resolute/minimal
bpi-aim7	bananapiaim7	vendor	resolute	xfce	建置缺少項目	bpi-aim7/bananapiaim7/vendor/resolute/xfce
bpi-cm4io	bananapicm4io	current	trixie	minimal	建置缺少項目	bpi-cm4io/bananapicm4io/current/trixie/minimal
bpi-cm4io	bananapicm4io	current	trixie	xfce	建置缺少項目	bpi-cm4io/bananapicm4io/current/trixie/xfce
bpi-cm4io	bananapicm4io	current	bookworm	minimal	建置缺少項目	bpi-cm4io/bananapicm4io/current/bookworm/minimal
bpi-cm4io	bananapicm4io	current	bookworm	xfce	建置缺少項目	bpi-cm4io/bananapicm4io/current/bookworm/xfce
bpi-cm4io	bananapicm4io	current	jammy	minimal	建置缺少項目	bpi-cm4io/bananapicm4io/current/jammy/minimal
bpi-cm4io	bananapicm4io	current	jammy	xfce	建置缺少項目	bpi-cm4io/bananapicm4io/current/jammy/xfce
bpi-cm4io	bananapicm4io	current	noble	minimal	建置缺少項目	bpi-cm4io/bananapicm4io/current/noble/minimal
bpi-cm4io	bananapicm4io	current	noble	xfce	建置缺少項目	bpi-cm4io/bananapicm4io/current/noble/xfce
bpi-cm4io	bananapicm4io	current	resolute	minimal	建置缺少項目	bpi-cm4io/bananapicm4io/current/resolute/minimal
bpi-cm4io	bananapicm4io	current	resolute	xfce	建置缺少項目	bpi-cm4io/bananapicm4io/current/resolute/xfce
bpi-cm5pro	bananapicm5pro	vendor	trixie	minimal	建置缺少項目	bpi-cm5pro/bananapicm5pro/vendor/trixie/minimal
bpi-cm5pro	bananapicm5pro	vendor	trixie	xfce	建置缺少項目	bpi-cm5pro/bananapicm5pro/vendor/trixie/xfce
