板目錄	板卡	分支	預期映像數	決策	選用來源
bpi-6204	bananapi6204	legacy	10	本輪全板待建	待建置
bpi-ai2n	bpi-ai2n	legacy	10	本輪全板待建	待建置
bpi-aim7	bananapiaim7	vendor	10	本輪全板待建	待建置
bpi-cm4io	bananapicm4io	current	10	本輪全板待建	待建置
bpi-cm5pro	bananapicm5pro	vendor	10	本輪全板待建	待建置
bpi-cm6	bananapicm6	legacy	8	本輪全板待建	待建置
bpi-f2p	bananapif2p	legacy	10	本輪全板待建	待建置
bpi-f2s	bananapif2s	legacy	10	本輪全板待建	待建置
bpi-f3	bananapif3	current	8	本輪全板待建	待建置
bpi-forge1	bananapiforge1	vendor	10	本輪全板待建	待建置
bpi-m1	bananapi	current	10	沿用完整候選	main-c867
bpi-m1p	bananapim1plus	current	10	沿用完整候選	main-c867
bpi-m1super	bananapim1super	vendor	10	保留部分候選並補缺	本輪候選與待建置
bpi-m2	bananapim2	current	10	本輪全板待建	待建置
bpi-m2b	bananapim2berry	current	10	本輪全板待建	待建置
bpi-m2m	bananapim2magic	current	10	本輪全板待建	待建置
bpi-m2p	bananapim2plus	current	10	本輪全板待建	待建置
bpi-m2pro	bananapim2pro	current	10	沿用完整候選	p3-c867
bpi-m2s	bananapim2s	current	10	沿用完整候選	p3-c867
bpi-m2u	bananapim2ultra	current	10	本輪全板待建	待建置
bpi-m2z	bananapim2zero	current	10	本輪全板待建	待建置
bpi-m3	bananapim3	current	10	本輪全板待建	待建置
bpi-m4	bananapim4	legacy	10	本輪全板待建	待建置
bpi-m4b	bananapim4berry	current	10	本輪全板待建	待建置
bpi-m4z	bananapim4zero	current	10	本輪全板待建	待建置
bpi-m4z-emac	bananapim4zeroemac	current	10	本輪全板待建	待建置
bpi-m5	bananapim5	current	10	本輪全板待建	待建置
bpi-m5pro	bananapim5pro	edge	10	本輪全板待建	待建置
bpi-m6	bananapim6	legacy	10	本輪全板待建	待建置
bpi-m64	bananapim64	current	10	沿用完整候選	p2-c867
bpi-m7	bananapim7	current	10	本輪全板待建	待建置
bpi-p2pro	bananapip2pro	current	10	本輪全板待建	待建置
bpi-p2z	bananapip2zero	current	10	沿用完整候選	p2-c867
bpi-pro	bananapipro	current	10	保留部分候選並補缺	本輪候選與待建置
bpi-r2	bananapir2	current	10	本輪全板待建	待建置
bpi-r2pro	bananapir2pro	current	10	本輪全板待建	待建置
bpi-r3	bananapir3	current	10	本輪全板待建	待建置
bpi-r3mini	bananapir3mini	current	10	本輪全板待建	待建置
bpi-r4	bananapir4	current	10	本輪全板待建	待建置
bpi-r4lite	bananapir4lite	current	10	本輪全板待建	待建置
bpi-r4pro	bananapir4pro	current	10	本輪全板待建	待建置
bpi-r64	bananapir64	current	10	本輪全板待建	待建置
bpi-sm10	bananapism10	current	8	保留部分候選並補缺	本輪候選與待建置
bpi-w2	bananapiw2	legacy	10	沿用完整候選	p1-c867
bpi-w3	bananapiw3	vendor	10	沿用完整候選	p1-c867
